Unnamed: 0,id,cmpdname,smiles,mw,mf,polararea,complexity,vdw_volume
1105,129851655,o-Phenylphenol urethane acrylate,C=CC(=O)OOC(N)=O,299.28,C16H13NO5,98.8,430.0,102.56132032939784
1106,86720804,"{2'-[(Acryloyloxy)methyl]-4',4-diamino-1,1'-biphenyl-2-yl}methyl acrylate",C=CC(=O)OCC1=C(C=CC(=C1)N)C2=C(C=C(C=C2)N)COC(=O)C=C,352.4,C20H20N2O4,105.0,476.0,324.39885401723063
1107,89428483,2-Methyladamantyl 2-[(methanesulfonyloxy)methyl]acrylate,C=CC(=O)OC12CC3CC(CC(C3)C1C)C2,328.4,C16H24O5S,78.0,574.0,211.35736227562762
1108,90375204,2-(Dodecyldisulfanyl)ethyl acrylate,CCCCCCCCCCCCSSCCOC(=O)C=C,332.6,C17H32O2S2,76.9,245.0,329.08980035133857
1109,118012601,"2,5,8,11,14,17,20,23,26,29,32,35-Dodecaoxaheptatriacontan-37-yl acrylate",COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,614.7,C28H54O14,137.0,541.0,560.8002906096373
1110,118118627,2-{4-[3-(4-Phenoxyphenoxy)phenoxy]phenyl}ethyl acrylate,C=CC(=O)OCCC1=CC=C(C=C1)OC2=CC(=CC=C2)OC3=CC=C(C=C3)OC4=CC=CC=C4,452.5,C29H24O5,54.0,600.0,434.7944046291981
1111,118536001,Diphenylmethyldiphenoxyethyl Acrylate,C=CC(=O)OCC(C(C1=CC=CC=C1)C2=CC=CC=C2)(OC3=CC=CC=C3)OC4=CC=CC=C4,450.5,C30H26O4,44.8,569.0,441.4518427609748
1112,129721473,2-(p-Iodobenzoxy)ethyl acrylate,C=CC(=O)OCCOCC1=CC=C(C=C1)I,332.13,C12H13IO3,35.5,222.0,210.640333320608
1113,18979476,6-[4'-[trans-4-(2-Carboxy-ethyl)-cyclohexyl]-biphenyl-4-yloxy]-hexyl acrylate,C=CC(=O)OCCCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3CCC(CC3)CCC(=O)O,478.6,C30H38O5,72.8,623.0,465.36384660505524
1114,86672979,"3-[(2-Iodo-4,5-dimethylphenyl)amino]benzyl acrylate",CC1=CC(=C(C=C1C)I)NC2=CC=CC(=C2)COC(=O)C=C,407.2,C18H18INO2,38.3,387.0,289.05849207084384
1115,86736825,Ethyl-beta-methanesulfonylamino-beta-ethoxy Acrylate,CCC(C)(NS(=O)(=O)C)OOC(=O)C=C,237.28,C8H15NO5S,90.1,331.0,195.73885602435573
1116,86736832,Ethylbeta-anilino-beta-ethoxy acrylate,CCC(C)(NC1=CC=CC=C1)OOC(=O)C=C,235.28,C13H17NO3,47.6,261.0,226.5308360653461
1117,86759008,Vinyl Acetate norbornyl Acrylate ethylene,C=CC(=O)OC12CCC(C1)CC2,280.36,C16H24O4,52.6,278.0,160.38934792861684
1118,86759875,2-(Toluene-4-sulfonyloxy)ethyl methacrylate 3-hydroxypropyl acrylate,C=CC(=O)OCCOS(=O)(=O)c1ccc(C)cc1,414.5,C19H26O8S,125.0,511.0,231.9448795276332
1119,129721060,(2-Hydroxyethyl)carbazolyl acrylate,C=CC(=O)OC1=C(C=CC2=C1NC3=CC=CC=C23)CCO,281.3,C17H15NO3,62.3,398.0,257.1017864212368
1120,129721440,"[2,2-Bis(carbomethoxy)ethyl]acrylate",COC(=O)C(COC(=O)C=C)C(=O)OC,216.19,C9H12O6,78.9,254.0,187.96346403430857
1121,129854430,3-(Hexadecyloxy)-3-oxopropyl acrylate,CCCCCCCCCCCCCCCCOC(=O)CCOC(=O)C=C,368.5,C22H40O4,52.6,352.0,379.60522278792746
1122,129805408,(Diphenylphosphinothioyl)phenyl acrylate,C=CC(=O)OC1=CC=CC=C1P(=S)(C2=CC=CC=C2)C3=CC=CC=C3,364.4,C21H17O2PS,58.4,484.0,338.7760561620806
1123,145945604,"2-(1,3-Dioxan-2-yloxy)ethyl acrylate",C=CC(=O)OCCOC1OCCCO1,202.2,C9H14O5,54.0,186.0,177.80061144004264
1124,85785799,"2,5-Diphenyl-oxazol-4-ylmethyl acrylate",C=CC(=O)OCC1=C(OC(=N1)C2=CC=CC=C2)C3=CC=CC=C3,305.3,C19H15NO3,52.3,399.0,290.05263102708545
1125,129848039,"Hydroxyethyl-3,5-dinitrobenzoyl acrylate",C=CC(=O)OC(=O)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])CCO,310.22,C12H10N2O8,155.0,481.0,240.817129707561
1126,129721374,N-(2-hydroxyethyl)-3-iodocarbazolyl acrylate,C=CC(=O)OC1=CC(=CC2=C1N(C3=CC=CC=C32)CCO)I,407.2,C17H14INO3,51.5,430.0,269.7680838099376
1127,129824099,3-(2-Bromo-isobutyryloxy)-adamantyl acrylate,CC(C)(C(=O)OC12CC3CC(C1)CC(C3)(C2)OC(=O)C=C)Br,371.3,C17H23BrO4,52.6,511.0,278.99471014897995
1128,129883255,4-((4-Nitrobenzylidene)amino)benzyl acrylate,C=CC(=O)OCC1=CC=C(C=C1)N=CC2=CC=C(C=C2)[N+](=O)[O-],310.3,C17H14N2O4,84.5,442.0,283.386882142424
1129,129883543,2-((4-Methoxybenzylidene)amino)ethyl acrylate,COC1=CC=C(C=C1)C=NCCOC(=O)C=C,233.26,C13H15NO3,47.9,268.0,226.58318647127473
1130,129851491,N-(2-hydroxyethyl)-3-chlorocarbazolyl acrylate,C=CC(=O)OC1=CC(=CC2=C1N(C3=CC=CC=C32)CCO)Cl,315.7,C17H14ClNO3,51.5,430.0,278.293594843885
1131,132279467,"Exo-1,7,7-trimethylbicyclo hept-2-yl acrylate",CC1(CCCCC(C1(C)OC(=O)C=C)C2CCCCCC2)C,306.5,C20H34O2,26.3,391.0,313.9765776120203
1132,139072596,2-[(8-Hydroxyquinolin-5-yl)methoxy]ethyl acrylate,C=CC(=O)OCCOCC1=C2C=CC=NC2=C(C=C1)O,273.28,C15H15NO4,68.6,334.0,248.44238350260767
1133,132281623,"8-(Formyloxy)tricyclo[5,2,1,0 2,6]dec-3-yl acrylate",C=CC(=O)OC1CCC2C1C3CC2C(C3)OC=O,250.29,C14H18O4,52.6,378.0,226.68296769359316
1134,90778654,"(e)-2,6-Dimethyl-4-(4-methylphenyldiazenyl)phenyl acrylate",CC1=CC=C(C=C1)N=NC2=CC(=C(C(=C2)C)OC(=O)C=C)C,294.3,C18H18N2O2,51.0,401.0,288.16387741389707
1135,90862337,"(e)-4-(4-Bromophenyldiazenyl)-2,6-dimethylphenyl acrylate",CC1=CC(=CC(=C1OC(=O)C=C)C)N=NC2=CC=C(C=C2)Br,359.2,C17H15BrN2O2,51.0,407.0,280.94785591128493
1136,92015353,"(e)-2,6-Dimethyl-4-(4-t-butylphenyldiazenyl)phenyl acrylate",CC1=CC(=CC(=C1OC(=O)C=C)C)N=NC2=CC=C(C=C2)C(C)(C)C,336.4,C21H24N2O2,51.0,475.0,334.56687251633997
1137,129782167,"2-Oxo-1,2,3,4-tetrahydropyrimido[1,2-a]benzimidazole acrylate",C=CC(=O)ON1C(=O)CCN2C1=NC3=CC=CC=C32,257.24,C13H11N3O3,64.4,412.0,224.37958521205667
1138,145740231,4-(3-(4-Acetamidophenyl)-3-oxoprop-1-en-1-yl)phenyl acrylate,CC(=O)NC1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)OC(=O)C=C,335.4,C20H17NO4,72.5,524.0,316.162772298051
1139,11485348,"p-(2,2,3-Tricyano-3-carbomethoxycyclopropyl)phenoxyethyl acrylate",COC(=O)C1(C(C1(C#N)C#N)C2=CC=C(C=C2)OCCOC(=O)C=C)C#N,365.3,C19H15N3O5,133.0,755.0,329.40037487672845
1140,12014951,2-[2-(2-Thiocyanato-3-phenylpropionyloxy)ethoxy]-ethyl acrylate,C=CC(=O)OCCOCCOC(=O)C(CC1=CC=CC=C1)SC#N,349.4,C17H19NO5S,111.0,453.0,315.53262810479686
1141,129860702,2-((2-(((Dodecylthio)carbonothioyl)thio)propanoyl)oxy)ethyl acrylate,CCCCCCCCCCCCSC(=S)SC(C)C(=O)OCCOC(=O)C=C,448.7,C21H36O4S3,135.0,455.0,418.3331443856022
1142,102181891,"11-{4-[5-(4-Bromophenyl)-4,5-dihydroisoxazol-3-yl]-phenyloxy}undecyl acrylate",C=CC(=O)OCCCCCCCCCCCOC1=CC=C(C=C1)C2=NOC(C2)C3=CC=C(C=C3)Br,542.5,C29H36BrNO4,57.1,639.0,467.0113161113033
1143,163201124,"(s)-7-Acetamido-1,3,10-trimethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-2-yl acrylate",CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC(=O)C=C)OC,439.5,C24H25NO7,100.0,872.0,394.194226346985
1144,141738169,"4-(((6-(3-(6-Methyl-4-oxo-1,4-dihydropyrimidin-2-yl)ureido)hexyl)carbamoyl)oxy)butyl acrylate",CC1=CC(=O)NC(=N1)NC(=O)NCCCCCCNC(=O)OCCCCOC(=O)C=C,437.5,C20H31N5O6,147.0,704.0,390.4979575529545
1145,164577025,"(e)-3-(2-(3-(Dicyanomethylene)-5,5-dimethylcyclohex-1-en-1-yl)vinyl)-2-oxo-2h-chromen-7-yl acrylate",CC1(CC(=CC(=C(C#N)C#N)C1)/C=C/C2=CC3=C(C=C(C=C3)OC(=O)C=C)OC2=O)C,412.4,C25H20N2O4,100.0,1000.0,384.3798808058734
1146,171378196,"2-((((6-Oxidodibenzo[c,e][1,2]oxaphosphinin-6-yl)methoxy)(phenoxy)phosphoryl)oxy)ethyl acrylate",C=CC(=O)OCCOP(=O)(OCP1(=O)C2=CC=CC=C2C3=CC=CC=C3O1)OC4=CC=CC=C4,500.4,C24H22O8P2,97.4,796.0,422.1135772815807
1147,58800674,"4'-(Di-p-tolylamino)-[1,1'-biphenyl]-4-yl acrylate",CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)OC(=O)C=C,419.5,C29H25NO2,29.5,564.0,420.20459671881605
1148,18362117,4-Ethylphenyl acrylate,CCC1=CC=C(C=C1)OC(=O)C=C,176.21,C11H12O2,26.3,179.0,177.42315643507897
1149,21946402,3-(Diethoxy(methyl)silyl)propyl acrylate,CCO[Si](C)(CCCOC(=O)C=C)OCC,246.37,C11H22O4Si,44.8,212.0,237.46192568909643
1150,44145730,3-Ethyl-3-hydroxy-7-oxabicyclo(4.1.0)hept-2-yl acrylate,CCC1(CCC2C(C1OC(=O)C=C)O2)O,212.24,C11H16O4,59.1,288.0,192.07843324514366
1151,139024549,2-Ethyl-4-methylpentyl Acrylate,CCC(CC(C)C)COC(=O)C=C,184.27,C11H20O2,26.3,162.0,195.03349036526893
1152,11378874,(Phosphonooxy)methyl acrylate,C=CC(=O)OCOP(=O)(O)O,182.07,C4H7O6P,93.1,193.0,125.29764411424334
1153,57978544,Dicyclopentanyl Acrylate,C=CC(=O)OC1CC2C3CCC(C3)C2C1,206.28,C13H18O2,26.3,279.0,197.92476533170097
1154,129760090,Quinine acrylate,COC1=CC2=C(C=C1)N=C(C=C2[C@H]([C@@H]3CC4CCN3C[C@@H]4C=C)O)OC(=O)C=C,394.5,C23H26N2O4,71.9,626.0,364.49213774953745
1155,21896322,1-(2-Tetrahydrofuranyl)cyclopentyl acrylate,C=CC(=O)OC1(CCCC1)C2CCCO2,210.27,C12H18O3,35.5,254.0,199.48564667426976
1156,129735866,Porphyrin acrylate,C=CC(=O)OC1=C2C=C3C=CC(=N3)C=C4C=CC(=N4)C=C5C=CC(=CC(=C1)N2)N5,380.4,C23H16N4O2,83.7,614.0,346.05515631549315
1157,129675398,Riboflavin acrylate,CC1=CC2=C(C=C1C)N(C3=NC(=O)N(C(=O)C3=N2)OC(=O)C=C)CC(C(C(CO)O)O)O,446.4,C20H22N4O8,173.0,859.0,363.1285596475042
1158,17853765,Deca-8-yl acrylate,CCCCCCCC(CC)OC(=O)C=C,212.33,C13H24O2,26.3,175.0,226.2869316418511
1159,23023397,2-Formylethyl acrylate,C=CC(=O)OCCC=O,128.13,C6H8O3,43.4,118.0,119.59596661646205
1160,129726845,Phenyl undecyl acrylate,C=CC(=O)OCCCCCCCCCCC,302.5,C20H30O2,26.3,303.0,241.78124991887913
1161,19033442,6-Phenoxyhexyl acrylate,C=CC(=O)OCCCCCCOC1=CC=CC=C1,248.32,C15H20O3,35.5,232.0,249.07985986873885
1162,146036144,Chromone-3-yl-acrylate,C=CC(=O)OC1=COC2=CC=CC=C2C1=O,216.19,C12H8O4,52.6,356.0,191.28348498065566
1163,129762053,Vinyl tetrazole acrylate,C=CC(=O)Oc1nn[nH]n1,166.14,C6H6N4O2,80.8,216.0,108.7939727432203
1164,23576933,2-Biotinylethyl acrylate,C=CC(=O)OCCC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2,326.4,C15H22N2O4S,110.0,455.0,284.0399772594564
1165,129851994,4-Methylcoumaryl acrylate,CC1(CC=C(C=C1)/C=C/COC(=O)C=C)O,220.26,C13H16O3,46.5,363.0,214.25603196126806
1166,149983942,3-Acetamidophenyl acrylate,CC(=O)NC1=CC(=CC=C1)OC(=O)C=C,205.21,C11H11NO3,55.4,263.0,191.0859188667198
1167,129767522,2h-Chromen-3-yl acrylate,C=CC(=O)OC1=CC2=CC=CC=C2OC1,202.21,C12H10O3,35.5,293.0,189.45596929489264
1168,15311046,"10-Undecenyl acrylate, contains <1000 ppm MEHQ as inhibitor, 98%",C=CCCCCCCCCOC(=O)C=C,210.31,C13H22O2,26.3,185.0,224.93166373255391
1169,21896325,2-(7-Oxanorbornan-2-yl)-2-propyl acrylate,CC(C)(C1CC2CCC1O2)OC(=O)C=C,210.27,C12H18O3,35.5,283.0,199.9066059644819
1170,22999312,4-Formyl-1-naphthyl acrylate,C=CC(=O)OC1=CC=C(C2=CC=CC=C21)C=O,226.23,C14H10O3,43.4,311.0,212.34739210328817
1171,21889445,5-Oxotetrahydrofuran-3-yl acrylate,C=CC(=O)OC1CC(=O)OC1,156.14,C7H8O4,52.6,197.0,134.44933305846675
1172,54152861,Cyanoethoxyethoxyethyl Acrylate,C=CC(=O)OCCOCCOCCC#N,213.23,C10H15NO4,68.6,231.0,199.8513797484271
1173,59005029,2-[(6-Bromohexanoyl)oxy]propyl acrylate,CC(COC(=O)C=C)OC(=O)CCCCCBr,307.18,C12H19BrO4,52.6,253.0,231.84381999121052
1174,66643440,3-Methyl-3-(phenylthio)butyl acrylate,CC(C)(CCOC(=O)C=C)SC1=CC=CC=C1,250.36,C14H18O2S,51.6,255.0,244.14474940446217
