smiles,static_polarizability,fitness,static_polarizability_pred_original,vdw_volume,refractive_index,mw
C=CC(=O)Oc1ccoc1Oc1ccoc1Oc1ccc(N=Nc2ccccc2)cc1,0.2318701380955569,-0.1058460539115078,21.66550768147682,355.646140198169,1.2766556758609997,416.38900000000007
C=CC(=O)Oc1occc1Oc1occc1-c1ccccc1N=Nc1ccccc1,0.2318701380955569,-0.1098686819804318,21.66550768147682,347.3541656549482,1.2837966127476554,400.39000000000004
C=CC(=O)Oc1occc1-c1ccoc1Oc1ccoc1Oc1ccnc2cc(Cl)ccc12,0.2318701380955569,-0.1130620306265957,21.66550768147682,372.93956249308775,1.2628745146884193,463.8290000000001
C=CC(=O)Oc1ccccc1-c1ccccc1Oc1ccccc1N=Nc1ccccc1,0.2318701380955569,-0.1156431501639492,21.66550768147682,384.35879892508086,1.2545113963028076,420.4680000000001
C=CC(=O)Oc1ccccc1Oc1ccccc1-c1ccccc1OCCCN=Cc1ccc(OC)cc1,0.2318701380955569,-0.1620750194323666,21.66550768147682,476.0138202097247,1.2028544425228287,507.5860000000003
C=CC(=O)Oc1occc1-c1ccoc1Oc1ccoc1Oc1ccccc1N=Nc1ccccc1,0.2318701380955569,-0.1810610657466061,21.66550768147682,407.9514006160906,1.2388302920219965,482.44800000000015
C=CC(=O)Oc1ccc(Oc2cccc3c2Cc2ccccc2-3)cc1,0.2364551044448293,-0.0016172610775553,22.012398597839958,299.65469921945595,1.3393343469121946,328.367
C=CC(=O)Oc1ccc(-c2ccccc2N=Nc2ccccc2)cc1,0.2364551044448293,-0.0022741473658956,22.012398597839958,304.3453640392822,1.333569443486177,328.37100000000004
C=CC(=O)Oc1ccccc1Sc1ccnc2cc(Cl)ccc12,0.2364551044448293,-0.0037183844105325,22.012398597839958,286.6637599938278,1.3564149294988084,341.819
C=CC(=O)Oc1ccc(-c2ccc(OCc3ccccc3)cc2)cc1,0.2364551044448293,-0.0058550917164408,22.012398597839958,308.7449841548966,1.3283405039714926,330.383
C=CC(=O)Oc1ccc(-c2cccc3c2Cc2ccccc2-3)cc1,0.2364551044448293,-0.0098804914013468,22.012398597839958,290.3663086671566,1.3513707021308483,312.368
C=CC(=O)Oc1ccc(Sc2cccc3c2Cc2ccccc2-3)cc1,0.2364551044448293,-0.0128686808601938,22.012398597839958,308.4910426534911,1.3286377731650465,344.435
C=CC(=O)Oc1ccc(Sc2ccnc3cc(Cl)ccc23)cc1,0.2364551044448293,-0.0164792918221079,22.012398597839958,286.4502106360055,1.3567103712548387,341.819
C=CC(=O)Oc1ccccc1-c1ccnc2cc(Cl)ccc12,0.2364551044448293,-0.0166992329613291,22.012398597839958,266.255714368409,1.3871063242779011,309.752
C=CC(=O)OCc1cc(C=O)cc(OC)c1-c1ccnc2cc(Cl)ccc12,0.2364551044448293,-0.0177537881390177,22.012398597839958,333.6686503960209,1.301603252659655,381.8150000000001
C=CC(=O)Oc1c(COc2ccnc3cc(Cl)ccc23)cc(C=O)cc1OC,0.2364551044448293,-0.0186266981617533,22.012398597839958,339.5568250583817,1.295919541939943,397.81400000000014
C=CC(=O)Oc1ccc(-c2ccnc3cc(Cl)ccc23)cc1,0.2364551044448293,-0.020905814264623,22.012398597839958,266.609206013032,1.3865287681302851,309.752
C=CC(=O)OCc1cc(C=O)cc(OC)c1Sc1ccnc2cc(Cl)ccc12,0.2364551044448293,-0.0332536481873117,22.012398597839958,349.3982411934029,1.2868899124422215,413.8820000000001
C=CC(=O)Oc1ccc(Sc2ccccc2N=Nc2ccccc2)cc1,0.2364551044448293,-0.0424434923187815,22.012398597839958,321.7140488258898,1.3138530852387662,360.43800000000005
C=CC(=O)Oc1ccccc1-c1ccccc1Oc1ccnc2cc(Cl)ccc12,0.2364551044448293,-0.0528964780823313,22.012398597839958,349.20705753113623,1.287060001085575,401.8490000000001
C=CC(=O)Oc1ccc(OCCCN=Cc2ccc(OC)cc2)cc1,0.2364551044448293,-0.0640516959683023,22.012398597839958,323.26114349814566,1.3122111219469663,339.391
C=CC(=O)OCc1cc(C=O)cc(OC)c1-c1cccc2c1Cc1ccccc1-2,0.2364551044448293,-0.0687405847565256,22.012398597839958,354.07297145348554,1.282793651513126,384.43100000000015
C=CC(=O)Oc1ccc(Oc2ccccc2N=Nc2ccccc2)cc1,0.2364551044448293,-0.0732463382736765,22.012398597839958,313.18769849144314,1.3232268703299053,344.37
C=CC(=O)Oc1ccccc1OCc1ccccc1,0.2364551044448293,-0.074250928257314,22.012398597839958,239.42637575555068,1.436784066499894,254.28499999999997
C=CC(=O)Oc1c(COc2cccc3c2Cc2ccccc2-3)cc(C=O)cc1OC,0.2364551044448293,-0.074363537933024,22.012398597839958,364.32641437925406,1.2742113348880713,400.4300000000001
C=CC(=O)Oc1c(COCCCN=Cc2ccc(OC)cc2)cc(C=O)cc1OC,0.2364551044448293,-0.0746518157974802,22.012398597839958,386.24616506819626,1.257523621787129,411.4540000000001
C=CC(=O)Oc1ccc(Cc2ccc(O)c3ncccc23)c(O)c1,0.2387475876194655,-0.0029202492850602,22.18584405602153,285.90977256569613,1.3605963706411777,321.33200000000005
C=CC(=O)OCc1ccc(Cc2ccnc3cc(Cl)ccc23)cc1,0.2387475876194655,-0.006651988444966,22.18584405602153,300.3211635438794,1.3414505421290628,337.806
C=CC(=O)Oc1ccc(Cc2ccc(O)c3ncccc23)cc1O,0.2387475876194655,-0.0087440518719374,22.18584405602153,287.28339528895395,1.3586775445115928,321.33200000000005
C=CC(=O)Oc1ccccc1Cc1ccc2ccccc2c1,0.2387475876194655,-0.0089467855113327,22.18584405602153,275.08421988299847,1.3764852692950058,288.346
C=CC(=O)Oc1ccc(Oc2ccc3ccccc3c2)c(O)c1,0.2387475876194655,-0.0118858126980483,22.18584405602153,273.2129505219913,1.3793779637595207,306.317
C=CC(=O)Oc1ccc(Sc2ccc3ccccc3c2)cc1O,0.2387475876194655,-0.0120889933722794,22.18584405602153,282.5255681671432,1.365414409263942,322.38500000000005
C=CC(=O)Oc1ccc(Cc2c(Br)cc(Cl)c3cccnc23)c(O)c1,0.2387475876194655,-0.0159069092887223,22.18584405602153,314.7185687047857,1.3242833518865438,418.67400000000004
C=CC(=O)Oc1ccc(Sc2c(Br)cc(Cl)c3cccnc23)c(O)c1,0.2387475876194655,-0.0165523083823502,22.18584405602153,316.30300503943914,1.3225007193954657,436.7140000000001
C=CC(=O)Oc1ccc(Cc2ccc3cc(C#N)c(=O)oc3c2)cc1,0.2387475876194655,-0.0165749399048506,22.18584405602153,290.6373726626102,1.3540787058742294,331.32700000000006
C=CC(=O)Oc1ccc(Oc2ccnc3cc(Cl)ccc23)c(O)c1,0.2387475876194655,-0.023375084815663,22.18584405602153,285.6803726170471,1.3609188645712915,341.75000000000006
