id,cmpdname,smiles_component,smiles_normalized,mw,mf,polararea,complexity,Category,Reason,Category_renormalized,Reason_renormalized
22709169,Phenylisopropyl acrylate,CC(C)(C1=CC=CC=C1)OC(=O)C=C,CC(C)(C1=CC=CC=C1)OC(=O)C=C,190.24,C12H14O2,26.3,212.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
57119052,Methanesulfonyl acrylate,CS(=O)(=O)OC(=O)C=C,CS(=O)(=O)OC(=O)C=C,150.16,C4H6O4S,68.8,207.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
5736398,1-Methyl-2-(4-morpholinyl)ethyl 3-(4-methoxyphenyl)acrylate hydrochloride,CC(CN1CCOCC1)OC(=O)/C=C/C2=CC=C(C=C2)OC,CC(CN1CCOCC1)OC(=O)/C=C/C2=CC=C(C=C2)OC,341.8,C17H24ClNO4,48.0,358.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
19748636,2-Isocyanoethyl acrylate,C=CC(=O)OCC[N+]#[C-],C=CC(=O)OCC[N+]#[C-],125.13,C6H7NO2,30.7,154.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
22177432,3-Methoxyphenyl acrylate,COC1=CC(=CC=C1)OC(=O)C=C,COC1=CC(=CC=C1)OC(=O)C=C,178.18,C10H10O3,35.5,189.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
12391804,2-oxo-2H-1-benzopyran-7-yl 2-methyl-acrylate,CC(=C)C(=O)OC1=CC2=C(C=C1)C=CC(=O)O2,C=CC(=O)Oc1ccc2ccc(=O)oc2c1,230.22,C13H10O4,52.6,383.0,Methacrylate,Found Methacrylate moiety,Acrylate,Found Acrylate moiety
129822428,Tetraphenylethene acrylate,C=CC(=O)OC1=CC=CC=C1C(=C(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,C=CC(=O)OC1=CC=CC=C1C(=C(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,402.5,C29H22O2,26.3,595.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
138753426,Acrylate phosphorylcholine,C[N+](C)(CCO)C#P=O,C[N+](C)(CCO)C#P=O,219.17,C8H14NO4P,77.4,229.0,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
87149162,2-Octyl-dodecyl acrylate,CCCCCCCCCCC(CCCCCCCC)COC(=O)C=C,CCCCCCCCCCC(CCCCCCCC)COC(=O)C=C,352.6,C23H44O2,26.3,299.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
118382728,Pentadecyl phenyl acrylate,CCCCCCCCCCCCCCCOC(=O)C(=C)C1=CC=CC=C1,C=CC(=O)OCCCCCCCCCCCCCCC,358.6,C24H38O2,26.3,355.0,Alpha-Substituted Acrylate,Found Alpha-Substituted Acrylate moiety,Acrylate,Found Acrylate moiety
129773915,Siloxane urethane acrylate,C=C(C(=O)OOC(=O)N)[Si]O,C=C(C(=O)OOC(=O)N)[Si]O,175.17,C4H5NO5Si,98.8,191.0,Alpha-Substituted Acrylate,Found Alpha-Substituted Acrylate moiety,Alpha-Substituted Acrylate,Found Alpha-Substituted Acrylate moiety
69736699,8-Hydroxyquinolyl acrylate,C=CC(=O)OC1=NC2=C(C=CC=C2O)C=C1,C=CC(=O)OC1=NC2=C(C=CC=C2O)C=C1,215.2,C12H9NO3,59.4,279.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
21057484,(Isopropyl)-silyl acrylate,CC(C)[Si]OC(=O)C=C,CC(C)[Si]OC(=O)C=C,142.23,C6H10O2Si,26.3,110.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
69853710,Bisphenol A epoxy acrylate,C1=C(O1)C(=O)O,C1=C(O1)C(=O)O,314.3,C18H18O5,90.3,323.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
102248210,"2,2-Dinitrobutyl acrylate",CCC(COC(=O)C=C)([N+](=O)[O-])[N+](=O)[O-],CCC(COC(=O)C=C)([N+](=O)[O-])[N+](=O)[O-],218.16,C7H10N2O6,118.0,275.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
21401083,Glycerol mono(meth)acrylate,CC(=C)C(=O)OC(C(CO)O)O,C=CC(=O)OC(O)C(O)CO,176.17,C7H12O5,87.0,177.0,Methacrylate,Found Methacrylate moiety,Acrylate,Found Acrylate moiety
18332238,Dimethyl aminoethyl acrylate,C/C=C(\C)/C(=O)OC(C)N,C/C=C(\C)/C(=O)OC(C)N,143.18,C7H13NO2,52.3,152.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
129846577,Imidazolium bromide acrylate,[Br-],[Br-],289.13,C9H13BrN4O2,100.0,74.5,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
87448426,Di-n-butyl n-butyl acrylate,CCCC/C=C(\CCCC)/C(=O)OCCCC,CCCC/C=C(\CCCC)/C(=O)OCCCC,240.38,C15H28O2,26.3,219.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
13878527,13:2 Fluorotelomer acrylate,C=CC(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C=CC(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,768.2,C18H7F27O2,26.3,1160.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
22016264,Trimethylammoniumethyl acrylate,C[NH+](C)C,C[NH+](C)C,159.23,C8H17NO2,44.6,96.7,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
21403530,2-Propionyloxy ethyl acrylate,CCC(=O)OCCOC(=O)C=C,CCC(=O)OCCOC(=O)C=C,172.18,C8H12O4,52.6,174.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
129824056,Benzocyclobuten-4-yl acrylate,C=CC(=O)OC1=CC2=C(C=C1)C=C2,C=CC(=O)OC1=CC2=C(C=C1)C=C2,172.18,C11H8O2,26.3,255.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
11457964,"2,2-Bis(hydroxymethyl)-propyl acrylate",CC(CO)(CO)COC(=O)C=C,CC(CO)(CO)COC(=O)C=C,174.19,C8H14O4,66.8,160.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
129673036,Monomethoxy hexanediol acrylate,CCCCCC(O)(OC)OC(=O)C=C,CCCCCC(O)(OC)OC(=O)C=C,202.25,C10H18O4,55.8,191.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
154733041,Ethyleneglycol nitrate-acrylate,C=CC(=O)OCCO[N+](=O)[O-],C=CC(=O)OCCO[N+](=O)[O-],161.11,C5H7NO5,81.4,161.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
22171739,Methacrylic acid.ethyl acrylate,CCOC(=O)C(=C)OC(=O)C(=C)C,C=CC(=O)OC(=C)C(=O)OCC,184.19,C9H12O4,52.6,252.0,Mixed Types,"Found: Methacrylate, Alpha-Substituted Acrylate",Mixed Types,"Found: Acrylate, Alpha-Substituted Acrylate"
129773823,Benzyloxycarbonylphenyl acrylate,C=CC(=O)OC1=CC=CC=C1C(=O)OCC2=CC=CC=C2,C=CC(=O)OC1=CC=CC=C1C(=O)OCC2=CC=CC=C2,282.29,C17H14O4,52.6,371.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
129845937,Ethoxytriethyleneglycol acrylate,CCOC(COCCOCCO)(O)OC(=O)C=C,CCOC(COCCOCCO)(O)OC(=O)C=C,264.27,C11H20O7,94.4,244.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
3019052,Methyl 3-methoxy-2-methyl-acrylate,CC(=COC)C(=O)OC,CC(=COC)C(=O)OC,130.139,C6H10O3,35.5,126.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
11128088,(E)-n-butyl 3-(4-cyanophenyl)acrylate,CCCCOC(=O)/C=C/C1=CC=C(C=C1)C#N,CCCCOC(=O)/C=C/C1=CC=C(C=C1)C#N,229.27,C14H15NO2,50.1,305.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
11221407,methyl trans-3-[3-(4-fluorophenyl)-1-isopropyl-1H-indol-2-yl]acrylate,CC(C)N1C2=CC=CC=C2C(=C1/C=C/C(=O)OC)C3=CC=C(C=C3)F,CC(C)N1C2=CC=CC=C2C(=C1/C=C/C(=O)OC)C3=CC=C(C=C3)F,337.4,C21H20FNO2,31.2,484.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
13010830,Methyl (e)-3-(6-methoxynaphthalen-2-yl)acrylate,COC1=CC2=C(C=C1)C=C(C=C2)/C=C/C(=O)OC,COC1=CC2=C(C=C1)C=C(C=C2)/C=C/C(=O)OC,242.27,C15H14O3,35.5,311.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
17786290,Ethyl(trimethyl)ammonium acrylate,CC[N+](C)(C)C,CC[N+](C)(C)C,159.23,C8H17NO2,40.1,84.1,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
19050546,"2,4,6-Trichlorophenyl acrylate",C=CC(=O)OC1=C(C=C(C=C1Cl)Cl)Cl,C=CC(=O)OC1=C(C=C(C=C1Cl)Cl)Cl,251.5,C9H5Cl3O2,26.3,220.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
19706376,"trans-4-(2,3-Difluorophenyl)cyclohexyl acrylate",C=CC(=O)OC1CCC(CC1)C2=C(C(=CC=C2)F)F,C=CC(=O)OC1CCC(CC1)C2=C(C(=CC=C2)F)F,266.28,C15H16F2O2,26.3,324.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
