id_A,id_B,smiles,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,vdw_volume,refractive_index,mw
129883543,,COC1=CC=C(C=C1)C=NCCOC(=O)C=C,,0,146.290512554,100.500498893,146.376719588,19.420482068259826,monomer,223.7370435106704,1.4090197578853092,233.2669999999999
2776049,,C=CC(=O)OCC1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,,0,114.633863181,76.7523513419,86.1777239308,13.710243908739791,monomer,235.42927975780808,1.263560594370127,366.12599999999986
22709169,,CC(C)(C1=CC=CC=C1)OC(=O)C=C,,0,74.241192197,111.747261268,121.800074721,15.203184596856412,monomer,190.5313743582112,1.372006184917313,190.24199999999993
18913838,,C=CC(=O)OC1=CC=CO1,,0,90.0565851541,43.5564326566,54.0690899353,9.270539569509921,monomer,122.37387335291822,1.3510971606728142,138.12199999999996
44580062,,C=CC(=O)O[C@@H](CC1=CC=CC=C1)CN2CCN(CC2)CCCN(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,,0,226.457396196,312.88705696,315.677033567,42.23370368460554,monomer,491.692755965048,1.4041798585344136,519.6360000000003
62552,,CCCCCCCCCCCCCCCCCCOC(=O)C=C,,0,187.339881898,173.273764295,178.154619758,26.612406415717267,monomer,374.9784450396892,1.326690934670562,324.549
18767473,,CCCCCCCCCC(CCCCCC)OC(=O)C=C,,0,167.281179193,174.956961024,143.709319855,24.0033278153353,monomer,339.1935071205183,1.3256561135758604,296.495
71431852,,C=CC(=O)OCCNCCCS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,170.417152684,169.253848771,186.7330177,26.001675640439373,monomer,424.02221412917066,1.2786302732330357,639.3240000000003
20226493,,C=CC(=O)OCC1=CC(=CC=C1)C2=CC=CC=C2,,0,111.370615468,116.998292425,222.412651925,22.266311571659326,monomer,229.1244591397559,1.4656944788849848,238.28600000000003
137331643,,C=CC(=O)OP(OC(=O)C=C)OC(=O)C=C,,0,77.9167455303,117.054309303,114.699340431,15.296139239275222,monomer,208.64086383600852,1.3385898627395978,244.13899999999995
53422786,,CC(C)(C)C(C)(C)OC(=O)C=C,,0,111.527205637,70.0918118254,81.163935419,12.98013855522464,monomer,187.75798938162723,1.3174193795214555,170.25199999999998
19778492,,CCCCCCCCON1C(CC(CC1(C)C)OC(=O)C=C)(C)C,,0,191.328468644,163.06255115,181.40877525,26.465779082218198,monomer,365.2164812534878,1.3342758590438388,339.5200000000001
21871648,,C=CC(=O)OC1=CC=CC=C1O,,0,88.323754505,77.0256351465,84.2847830005,12.330655826842182,monomer,148.9248129428107,1.3877597331927214,164.15999999999997
14987130,,COCOC(=O)C=C,,0,27.5614799847,56.4018404842,60.0892940729,7.11546497020614,monomer,112.87033229676246,1.2870880079521034,116.11599999999999
23194993,,C=CC(=O)ON1C(=O)C2=CC=CC=C2C1=O,,0,132.643171259,72.4358815917,123.490971456,16.229684588860433,monomer,181.4072563302863,1.4233532781711162,217.18
129829186,,C=CC(=O)OOC(=O)CCCCCCCCC(=O)OOC(=O)C=C,,0,174.950445675,173.276527203,121.500732391,23.20215459475074,monomer,319.1601409589802,1.3354535302099164,342.344
18183725,,CC(C)(C)NOC(=O)C=C,,0,38.7311830957,76.5401860319,85.5024199515,9.9172019034292,monomer,148.8185602841345,1.3049352818239075,143.18599999999998
92015353,,CC1=CC(=CC(=C1OC(=O)C=C)C)N=NC2=CC=C(C=C2)C(C)(C)C,,0,122.8307686,404.85216377,243.058522084,38.07069963774806,monomer,335.583600022511,1.5595564212378286,336.43500000000006
87149162,,CCCCCCCCCCC(CCCCCCCC)COC(=O)C=C,,0,193.642456947,208.92656593,193.70750378,29.45302139415827,monomer,408.5801897492834,1.3323463132806173,352.60300000000007
21884903,,CC(C)(C)C1(CCCCC1)OC(=O)C=C,,0,95.2144464502,104.218829991,133.354096465,16.438000115255704,monomer,227.5889057610397,1.3330596981056946,210.31699999999998
86614223,,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)OCCOC(=O)C=C,,0,227.022064252,174.057950847,176.533471568,28.531162337946085,monomer,309.4987101806551,1.4381328986504334,349.4080000000002
21872250,,C=CC(=O)OCCOC1=CC=C(C=C1)Cl,,0,104.352609834,112.093181526,109.268087174,16.088605544512006,monomer,198.82811562508803,1.3778778185323828,226.65900000000002
169029,,C=CC(=O)OCCNC(C)(C)C,,0,79.1339761599,72.0046542298,95.6288527159,12.189055973811078,monomer,182.58595093287664,1.30552576551086,171.23999999999998
129723103,,CCCCCCCCCCCCCCCC(O)OC(=O)C=C,,0,187.174610698,174.725003345,141.136075219,24.847399244313195,monomer,347.9777080039136,1.3288914860720933,312.494
23467942,,CC1=CC(=C(C=C1)OC(=O)C=C)N2N=C3C=CC=CC3=N2,,0,230.380554987,125.023260656,201.904007785,27.52816606513646,monomer,251.21347919946265,1.5366432795714693,279.29900000000004
118885882,,C=CC(=O)NCCOCCOC(=O)C=C,,0,93.283170615,116.248379241,83.8413546145,14.491126256939578,monomer,206.45649955773948,1.3227460436718337,213.23299999999995
21496309,,C=CC(=O)OCC1=CC=CS1,,0,74.5475842982,102.167415059,57.1192783257,11.550221542166668,monomer,148.1213125329444,1.3625681323804573,168.21699999999998
168446324,,C=CC(=O)OCCOCCOCCOCC(=O)ON1C(=O)CCC1=O,,0,127.81768528,186.956293372,136.977495497,22.31422039628069,monomer,319.33413820321266,1.3211705127339015,359.33100000000013
22597223,,CC1C2CC3CC(C2)CC1(C3)OC(=O)C=C,,0,127.655192056,91.5148272048,125.204595409,17.01035080206869,monomer,221.7000594543792,1.3560983751056277,220.31199999999995
13086546,,CC1(CCCCC1)OC(=O)C=C,,0,75.5542006006,73.1291219745,108.450884458,12.701119300093293,monomer,176.19688373898708,1.332338917231443,168.236
543296,,CCCCCCCCCCC(C)OC(=O)C=C,,0,126.111516677,106.755807854,163.060983156,19.556840485129623,monomer,271.5937782990864,1.3319473368239372,240.38699999999997
155293052,,C=CC(=O)OC1=CC=C(C=C1)/C=C/C(=O)C2=C3C=CC4=CC=CC5=C4C3=C(C=C5)C=C2,,0,273.725800515,183.710222073,499.251579421,47.25549162143302,monomer,365.4898336555728,1.657985607819066,402.4490000000001
23662581,,C=CC(=O)OCCOCCCS(=O)(=O)[O-],,0,190.892281687,98.7466827456,105.574197031,19.521515906555578,monomer,205.1788952095976,1.454392771290732,237.25299999999996
87193678,,C=CC(=O)OCCCCCCS(=O)(=O)O,,0,124.845568351,85.198398112,92.914306127,14.964594588616697,monomer,214.54932746843144,1.3205235495130043,236.289
129698270,,C=CC(=O)OC1=C(C=CO1)[N+](=O)[O-],,0,121.920518757,30.7106099814,80.7671626727,11.528686042416446,monomer,147.69879344330545,1.36296856513192,183.11899999999997
