id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type
76709,,C=CC(=O)OC1=CC=C(C=C1)O,,2,300.303981782,337.874815456,366.625074622,334.93462395333336,homopoly
2778248,,CC(C(F)(F)F)(C(F)(F)F)OC(=O)C=C,,0,43.9286318848,82.4682724081,61.5706455742,62.6558499557,monomer
9815589,,C=CC(=O)OCCCCOCC1CO1,,1,202.499806728,180.25471641,158.535421504,180.4299815473333,homopoly
22372339,,CCCC1=CC=C(C=C1)OC(=O)C=C,,0,112.957184049,122.128320807,92.9281918984,109.33789891813335,monomer
129786647,,C=CC(=O)OC1C=CS1,,2,325.129491426,206.376787439,213.246794897,248.25102458733332,homopoly
84997,,C=CC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,2,477.244256966,562.027514192,515.213019592,518.1615969166668,homopoly
145994990,,C=CC(=O)OCCOC1=C2C=CC(=CC2=NC=C1)Cl,,0,99.5542749573,165.707886418,168.938616707,144.7335926941,monomer
543281,,CCCCCCCCCCC(CC)OC(=O)C=C,,1,307.210948595,253.269992581,260.678121871,273.71968768233336,homopoly
129786785,,C=CC(=O)OC1=CSC1,,2,262.827726559,272.096942846,280.091044161,271.67190452200003,homopoly
135398202,,CCOC(=O)C(C)(COC(=O)C=C)COC(=O)C=C,,0,101.98884901,114.011392103,142.057953204,119.35273143900001,monomer
22664433,,C=CC(=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,,1,146.027027952,169.544579501,181.25820772,165.609938391,homopoly
59992627,,C=CC(=O)OCCOCCC(=O)ON1C(=O)CCC1=O,,0,141.561913516,98.8835695874,120.832682376,120.4260551598,monomer
11217487,,CCC1(COC1)COC(=O)C=C,,1,160.034766574,169.742720099,149.951288201,159.90959162466666,homopoly
129851491,,C=CC(=O)OC1=CC(=CC2=C1N(C3=CC=CC=C32)CCO)Cl,,0,178.418705768,121.66527776,251.076603199,183.72019557566668,monomer
167312788,,C=CC(=O)OCCOCCNC(=O)CCCN1C(=O)C=CC1=O,,2,552.413204178,592.585820046,635.137358923,593.3787943823334,homopoly
171395280,,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C=C)OC(=O)C=C)C,,1,483.538239949,359.923773861,402.957276163,415.47309665766664,homopoly
2775810,,C=CC(=O)OCC(CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,,2,345.527119271,385.009982407,386.602028469,372.37971004900004,homopoly
90375286,,CCCCCCCCCCSSCCOC(=O)C=C,,1,309.816639744,294.934387085,310.772566848,305.17453122566667,homopoly
14496496,,CCOC(=O)CCOC(=O)C=C,,1,156.762873681,156.905482229,132.527013816,148.73178990866666,homopoly
155899407,,CCCCCCCC(CCCCCCC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCCCCOC(=O)C=C)C1=O,,0,379.22911744,784.765776208,451.170398739,538.3884307956667,monomer
168655174,,C=CC(=O)OC1=C(C=CC(=C1)C2=NC3=CC=CC=C3S2)C4=NC5=CC=CC=C5S4,,0,447.563365857,192.508018639,315.470018658,318.51380105133336,monomer
46835728,,CC(C)(C)C1=CC(=CC(=C1)OC(=O)C=C)C(C)(C)C,,1,247.113772909,318.936324996,325.144494066,297.0648639903333,homopoly
21872251,,C=CC(=O)OC1=C(C(=C(C=C1)Br)Br)Br,,1,199.698070121,384.840760886,167.027227362,250.5220194563333,homopoly
10197737,,C=CC(=O)OC(F)(F)F,,0,24.7137013549,27.183857571,56.2456252561,36.047728060666664,monomer
13643270,,C=CC(=O)OC(COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O)COC3=CC(=C(C=C3)C(=O)C4=CC=CC=C4)O,,2,1316.97716698,1313.51118284,1121.0714522,1250.5199340066665,homopoly
3014768,,C=CC(=O)OCCN=C=O,,2,261.801177346,262.885628414,192.106659391,238.93115505033333,homopoly
129692699,,CC(C)COC(=O)OC1=CC=C(C=C1)COC(=O)C=C,,1,339.684313205,239.640848733,237.745189053,272.3567836636667,homopoly
19806870,,CC(CF)(C(OC(=O)C=C)(F)F)C(F)(F)F,,2,277.464053325,298.346010828,277.41881167,284.40962527433334,homopoly
4391003,,CC(CCOC(=O)C=C)CC(C)(C)C,,2,446.682755311,420.938936329,379.665993262,415.76256163399995,homopoly
688322,,CC(C)(C)C1CCC(CC1)OC(=O)C=C,,1,206.581077357,223.043882457,230.481747481,220.03556909833333,homopoly
129696010,,C=CC(=O)OC1=CC=CC=C1C(C(C(O)(F)F)(F)F)(F)F,,0,163.850523561,39.9257868833,136.092434486,113.28958164343332,monomer
83092,,C=CC(=O)OC(C(F)(F)F)(C(F)(F)F)F,,1,97.7121983444,113.470885396,118.604267539,109.92911709313334,homopoly
101375909,,CC1=CC(=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C)OC(=O)C=C,,1,361.551741464,485.663973477,321.622660185,389.61279170866663,homopoly
3016431,,CCCCC(C)COC(=O)C=C,,2,344.636267454,344.692783728,350.76000714,346.696352774,homopoly
59245534,,CCCC1CCC(CC1)C2CCC(CC2)C3=CC(=C(C(=C3)F)OCCCCCCOC(=O)C=C)F,,2,1151.92992691,1125.73895319,840.789859464,1039.4862465213334,homopoly
2776224,,C=CC(=O)OCC(CC(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)O,,1,218.752146623,257.012930919,241.439230395,239.06810264566664,homopoly
10308068,,C=CC(=O)OC1=C2C=CC=CC2=CC3=CC=CC=C31,,0,246.056538669,40.8757995572,227.275606021,171.4026480824,monomer
15208801,,C=CC(=O)OCCCN=C=O,,2,287.909847643,231.219616648,309.180206455,276.103223582,homopoly
119747,,C=CC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,126.634087564,110.97936354,123.070959736,120.22813694666667,monomer
18372055,,C=CCCCCOC(=O)C=C,,1,185.050310599,158.789307789,137.43071369,160.423444026,homopoly
22728778,,C=CC(=O)OCCN1C(=O)CCC1=O,,1,174.200846132,168.01861023,172.753974712,171.657810358,homopoly
91241,,C=CC(=O)OCC(CCl)Cl,,1,126.33387058,133.022212982,154.167684226,137.84125592933333,homopoly
13932176,,CCCCCCC(COC(=O)C=C)O,,1,191.632106352,205.328083193,194.240442932,197.06687749233333,homopoly
85887894,,C=CC(=O)OCCNC1=CC=C(C2=NON=C12)[N+](=O)[O-],,1,245.228765957,321.352484903,303.240659591,289.940636817,homopoly
564417,,C=CC(=O)OCCCCC=C1CC1,,0,93.0106853962,96.4405187691,108.062848274,99.1713508131,monomer
21981399,,C=CC(=O)OCCCN,,1,119.740756592,111.727229777,113.385376143,114.95112083733333,homopoly
543695,,C=CC(=O)OC1=CC(=C(C=C1Cl)Cl)Cl,,2,394.501123866,532.747629877,515.065037181,480.7712636413333,homopoly
80995,,C=CC(=O)OCCN1CC1,,2,254.548444234,259.506628361,274.583256445,262.8794430133333,homopoly
22676929,,C=CC(=O)OCCSC1=CC=CC=C1,,1,130.921342549,247.004696862,248.384097623,208.770045678,homopoly
87274,,C=CC(=O)OCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,2,549.211953569,510.680432646,608.552608184,556.1483314663333,homopoly
81215,,C=CC(=O)OC1=CC=C(C=C1)OC(=O)C=C,,0,147.475893351,35.3349998043,181.379178841,121.39669066543333,monomer
544164,,CC1CCC(C(C1)OC(=O)C=C)C(C)C,,1,202.691536962,221.470596553,235.712109869,219.958081128,homopoly
163752588,,C=CC(=O)OC1=CC2=C(C=C1)SC(=O)O2,,1,286.349356055,101.382574632,265.450613317,217.727514668,homopoly
58231725,,C=CC(=O)OC1=C(C2=C(C=C1)C=C(C=C2)C3=CC=CC4=C3SC5=CC=CC=C45)C6=CC=CC7=C6SC8=CC=CC=C78,,0,387.777676664,573.863447345,292.236462533,417.9591955140001,monomer
19979416,,CC1(CC(CC(N1OC)(C)C)OC(=O)C=C)C,,0,102.174495014,116.734974054,138.665039043,119.19150270366667,monomer
22728782,,C=CC(=O)OCCN1CCOC1=O,,1,138.271212838,171.657426072,155.469375048,155.13267131933333,homopoly
129721294,,C=CC(=O)OC1=CC=C(C=C1)C2C(CC2(C#N)C#N)(C#N)C#N,,2,566.427875102,600.536518883,733.601385736,633.5219265736667,homopoly
