id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type
10330602,67829,COC(=O)/C=C/C1=CC(=C(C=C1)O)C=O,C=CC(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,1,137.278525554,199.797515827,197.566182327,178.21407456933332,copoly
53724509,710526,CCOC(=O)C=CC1=CN(N=C1)C,COC(=O)/C(=C/C1=CC=C(O1)C2=CC=C(C=C2)S(=O)(=O)N)/C#N,1,249.813779865,181.892587042,382.841178023,271.51584830999997,copoly
69566088,154827720,CCOC(=O)/C=C/C1CCC(CC1)C,CC(C)(C)OC(=O)/C=C/C1=CC(=C(C=C1)F)C(F)(F)F,1,229.011770732,200.486992822,227.985860897,219.16154148366664,copoly
5875469,74333106,COC(=O)/C=C/C1=CC=C(C=C1)N2C=CN=C2,CCOC(=O)C=CC1=CC=CC=C1I,1,265.895781426,210.604266441,249.520465036,242.00683763433332,copoly
18177257,5921043,COC(=O)C(=C)CN1C=NC=N1,CCOC(=O)/C(=C/C1=CC=NC=C1)/C#N,1,124.959388244,199.317547778,179.993440463,168.090125495,copoly
91684689,89843276,CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC(=CC=C2)F)Cl,CCOC(=O)/C=C/C1=CC2=C(C=C1)N=C(N(C2=O)C3=CC=CC=C3)C,1,285.026135269,350.31133626,430.5036747,355.28038207633335,copoly
46318141,70515126,COC(=O)/C=C/C1=C(N=C(C=C1)N2CCCC2)F,CCOC(=O)C(=CNC1=C(C=CC=N1)Cl)C#N,1,189.017668391,225.183414297,343.169094022,252.45672557000003,copoly
91684763,131736321,COC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=C(C=C2)Cl)I,CC(C)(C)OC(=O)/C=C/C1=C(C=CC(=C1)Cl)C(F)F,1,299.113758149,341.364359874,279.407323359,306.62848046066665,copoly
10965668,118874044,CC1=CC=CC=C1/C(=C\OC)/C(=O)OC,CN(C)C(=O)N1C(=O)N(N=N1)/C=C/C(=O)OC,1,214.688682073,174.783083603,222.718537383,204.06343435300002,copoly
137047,28860,CCOC(=O)C=C(C(F)(F)F)C(F)(F)F,CC(COC(=O)C=C)([N+](=O)[O-])[N+](=O)[O-],1,135.962798788,131.908451597,151.561424298,139.81089156099998,copoly
58566652,45050938,CCOC(=O)/C=C/C1=C(C=C(C=C1)O)C2=CC=CC=C2,CCOC(=O)/C(=C/C1=CC=C(O1)C2=C(C=CC(=C2)C)OC)/C#N,1,371.598391589,248.058249828,378.590630198,332.7490905383333,copoly
25098584,87216247,COC(=O)/C(=C/C1=C(C=CC=C1Cl)F)/CN2C=NC=N2,CC(C)(C)OC(=O)/C=C/C1=NC(=C(C=C1)NC=O)OC,1,263.012190915,258.978183909,305.262302256,275.75089236,copoly
708094,129875951,COC(=O)C(=CC1=CC=CC2=CC=CC=C21)C#N,COCCCN1CC2=C(C1/C=C/C(=O)OC)C(=CC=C2)[N+](=O)[O-],1,265.238831085,252.985581198,358.919636283,292.381349522,copoly
67774726,733990,COC(=O)/C(=C\O)/CC1=CN=CN=C1,COC(=O)/C(=C/C1=CC=C(C=C1)O)/C#N,1,260.7110202,177.353947863,117.592984737,185.21931759999998,copoly
53486487,91684822,CC1=C(SC=N1)/C=C(\CN2C=NC=N2)/C(=O)OC,CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=C(C=C(C=C2)F)Cl)Cl,1,337.906695839,285.76437725,268.787104062,297.4860590503333,copoly
5462840,167712969,CCN(CC)/C=C/C(=O)OCC,CC1=C(C=C(C=C1)/C=C/C(=O)OC)C=O,1,185.757743459,225.639538282,174.578847077,195.32537627266666,copoly
164946354,54317618,CC/C=C/CCOC(=O)C=C,CCOC(=O)C=CC(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)OC,1,212.417082386,307.291033838,311.307579489,277.0052319043333,copoly
10954846,91685143,COC(=O)C(=C)C(C1=CC=C(O1)CO)O,COC1=C(C(=CC(=C1)/C=C/C(=O)OC)I)OCC2=CC=C(C=C2)Cl,1,257.57683909,418.965282181,196.946963323,291.163028198,copoly
76637550,170903583,CCOC(=O)C=CC1CCC2(CC1)OCCO2,COC(=O)/C=C/C1=CC(=C(C=C1)C=O)O,1,276.498483002,181.708063572,208.091695501,222.099414025,copoly
708094,91684589,COC(=O)C(=CC1=CC=CC2=CC=CC=C21)C#N,C=CCOC(=O)/C=C/C1=CC=C(C=C1)OCC2=CC=C(C=C2)[N+](=O)[O-],1,301.180919238,245.803626238,376.862330973,307.94895881633335,copoly
6537093,86615046,CCCOC(=O)/C=C/C1=CC=CO1,CC(=O)OC=C.COC(=O)C=C.C=CO,1,137.914510962,197.805754853,175.987029775,170.56909853,copoly
5743512,73357467,COC(=O)/C=C/C1=CN=CN1.Cl,CCOC(=O)/C=C/C1=CC2=C(C=C1)NC=C2,1,228.71257456,210.279167446,157.787441517,198.92639450766669,copoly
169408926,16870189,CC[C@@]12CCC=C[C@@]1(OC(=O)C2)/C=C/C(=O)OCC,C1OC2=C(O1)C=C(C=C2)/C=C\C(=O)OCC3=NOC(=C3)C4=CC=CS4,1,377.83660809,357.448510035,195.058139653,310.1144192593334,copoly
5399040,68849152,CCOC(=O)/C(=C\C1=CN=CC=C1)/C#N,CCC(=CC1=CC(=C(C=C1)OC)[N+](=O)[O-])C(=O)OCC,1,264.376924755,202.00975679,248.551635841,238.312772462,copoly
151218,899314,C=C(CP(=O)(O)O)C(=O)O,CCOC(=O)/C=C/C1=CC=C(O1)[N+](=O)[O-],1,179.937410698,161.429477651,131.162930751,157.50993970000002,copoly
77920,169408931,CC(C)CCOC(=O)C=C,CCOC(=O)/C=C/[C@]12C=CC(C[C@]1(CC(=O)O2)C)C,1,187.685710595,209.923932516,201.757986352,199.789209821,copoly
57127567,168422,CC[C@H](C)OC(=O)C=C,CCCCOC(=O)C=C.C=CC1=CC=CC=C1,1,215.678277509,173.948452615,206.018341764,198.54835729600003,copoly
14552133,53929170,CC1=CC=CC=C1C(=C)C(=O)OC,COC1=NC=C(C=C1)C=CC(=O)OC,1,227.359863756,160.407386652,168.232088042,185.33311281666667,copoly
13369430,168350,CCOC(=O)/C=C/C1=CC(=NC=C1)C,COC(=O)C=C.C=CC(=O)O,1,187.97663397,155.933290656,149.811161774,164.57369546666666,copoly
22592697,11309854,CC(=O)OC=C.COC(=O)C=C,CCOC(=O)/C=C/C1=NC=CC=N1,1,211.170807766,168.430617755,137.735811387,172.445745636,copoly
91684950,91685259,COC1=C(C(=CC(=C1)/C=C/C(=O)OCC#C)I)OCC2=CC=CC=C2,COC1=C(C(=CC(=C1)/C=C/C(=O)OCC=C)Cl)OCC2=CC(=CC=C2)Br,1,465.590030157,432.53099533,357.039948661,418.3869913826666,copoly
76637550,132990953,CCOC(=O)C=CC1CCC2(CC1)OCCO2,CCOC(=O)C(=CNCCCN)C1=NC2=CC=CC=C2N1.Cl,1,295.198128223,345.572471527,223.890226522,288.220275424,copoly
175956,10611340,C=CC(=O)OCCOC(=O)CCC(=O)O,CCOC(=O)/C=C/C1=CC2=C(C=C(C=C2)O)OC1=O,1,161.792380414,248.518218554,267.416198328,225.90893243200003,copoly
57636644,598431,CCOC(=O)/C=C/C1=C(C=C(C=C1F)OC)F,CCOC(=O)C(=CC1=CC=CC=C1C)C#N,1,204.995125629,224.025122832,239.537239543,222.85249600133332,copoly
