id,smiles,chain_size,xx,yy,zz,static_polarizability
139030771,CCCCSCC1=COC=C1C(=CC(=O)OCC)P(=O)(OCC)OCC,2,673.851441782,817.566926697,860.662326857,784.0268984453334
12235566,CCOC(=O)/C=C/C1=CC(=C(C=C1)OC)Cl,0,171.474464116,136.209790624,118.632861679,142.10570547300003
6450209,C[N+](C)(C)CCOC(=O)/C=C/C1=CN=CN1.[Cl-],0,74.3979474257,101.852866979,213.076345887,129.77572009723335
91685369,CCOC(=O)/C=C/C1=CC(=C(C(=C1)I)OCC2=CC=CC3=CC=CC=C32)OC,0,284.655434931,157.782742673,311.513921706,251.31736643666667
53401287,COC(=O)C=CC1=CC=C(C=C1)C=O,2,407.746338498,366.296653722,406.164385473,393.40245923099997
140350948,C=CC(=O)OOC(=O)OOC(=O)C(=C)C(C(CO)O)O,1,246.855492769,192.943357385,209.079245696,216.29269861666663
3504770,CCOC(=O)C(=CC1=COC2=CC=CC=C2C1=O)C#N,1,256.218963339,272.071312814,301.800988917,276.69708835666665
129739272,CCOC(=O)C(=CC1=CNN=C1)Br,1,157.050986522,173.690367477,194.406672784,175.049342261
86617713,CCOC(=O)/C=C/C1=C(C(=C(C=C1)OCCOC)C)OCC2=C(C=C(C=C2)Cl)Cl,1,520.469153962,414.92993834,439.355965647,458.25168598299996
21783377,COC1=CC=C(C=C1)N/C=C\C(=O)OC,2,424.892709069,343.464207166,514.607971275,427.6549625033333
23513520,C=CC(=O)OCCC1=CC=CC2=CC=CC=C21,0,184.065749332,89.9480705526,136.437644233,136.81715470586667
1472267,COC(=O)/C=C/C1=CN=CC2=CC=CC=C21,0,204.783521153,18.8420845805,195.227437297,139.61768101016665
91684480,CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=CC=C2)Br,2,734.155931893,625.715466278,664.877756947,674.9163850393334
15284218,CCOC(=O)/C=C/C1=C(C2=C(N1C)C(=O)C=C(C2=O)OC)C=O,0,209.142622543,266.356030481,99.5956076796,191.69808690119999
10932500,CC(C)(C)OC(=O)NC(=C)C(=O)OC,1,162.911732599,169.620070126,198.741329132,177.09104395233337
14006519,COC(=O)C(=C)C1(CCCCC1)O,2,355.856252204,380.228483935,333.04110126,356.375279133
9622015,COC1=CC=C(C=C1)/C=C/C(=O)OC2=C(C=C(C=C2)/C=N/NC3=CC=CC=C3)OC,2,936.296080415,1582.34921947,768.659548263,1095.768282716
169432241,CC(C)(C)OC(=O)/C=C/C1=C(C=CC2=C1C=CN=C2)OC,2,606.404331936,623.415746744,631.051962325,620.2906803349999
90147649,CCOC(=O)/C(=C\N(C)C)/C(=O)C1=NC(=CS1)C2=CC=CC=C2,2,664.622947894,780.857435641,788.339366821,744.606583452
68755551,CCOC(=O)/C=C/C1=C(C=CC(=N1)C(F)(F)F)N,0,142.549719526,81.5330759171,159.829637294,127.97081091236667
10584088,COC(=O)/C=C/C1=CN=C(C=C1)Cl,2,340.879979198,414.635272353,340.632838848,365.3826967996667
68105235,CCOC(=O)/C=C/C1=C(C=C(C=N1)Cl)N,2,460.736333351,514.7998516,299.435879321,424.99068809066665
163320630,COC1=C(C=CC(=C1)/C=C/C(=O)OC)OCC(CNC2=CC(=C(C=C2)F)[N+](=O)[O-])O,0,279.658062847,293.256639137,118.557674282,230.49079208866667
5354136,COC(=O)/C=C/C1=CC(=CC=C1)[N+](=O)[O-],1,187.676531348,210.02405074,181.838282298,193.179621462
21401083,CC(=C)C(=O)OC(C(CO)O)O,1,129.635002836,132.610102257,148.362954029,136.86935304066665
5399040,CCOC(=O)/C(=C\C1=CN=CC=C1)/C#N,0,114.722353712,103.435402211,122.964842208,113.70753271033334
1473376,C1=CC(=CC=C1OC(=O)/C=C/C2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,0,297.471388851,104.982116671,137.871699678,180.10840173333335
3023749,CCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,0,276.010563873,246.970279059,268.777948357,263.91959709633335
129847753,CC1=NN(C=C1OC(=O)C=C)C,1,189.247599559,124.101697782,177.353634713,163.567644018
164886393,COC(=O)/C=C\C1=CNC2=C1C=C(C=C2)Br,2,448.756872533,514.551068731,520.033079774,494.4470070126667
137530330,CC(C)(C)N(CC1=C(C(=CC(=C1)C=O)OC)OC(=O)C=C)C(C)(C)C,2,736.99359198,856.038731024,701.961434117,764.9979190403333
134767817,C[C@H]1CC[C@@H]([C@H](C1)OC(=O)C=C)C(C)(C)C2=CC=C(C=C2)OC,1,353.986580648,395.0026838,314.680964718,354.5567430553333
18612827,COC1=CC=C(C=C1)S(=O)(=O)N(CC2=CC=CC=C2NS(=O)(=O)C)C(=C)C(=O)OC,2,925.602893038,1004.7521144,914.154686862,948.1698981
66726020,CCOC(=O)C(=CN(C)C)N1C=C(N=C1)C#N,2,422.596201028,396.121966577,553.094004334,457.2707239796667
86582732,CC(C)OC(=O)/C(=C/N1C=NC(=N1)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)/C3=CN=CC=C3,1,506.767697417,349.993854918,398.346411873,418.3693214026667
67272864,CNC1=CC=CC(=C1)C2=C(C=C(C=C2)/C=C/C(=O)OC)OC,0,179.363024817,173.417904093,281.356912977,211.37928062899996
44754914,CCOC(=O)/C=C/C1=C(C(=CC=C1)F)F,1,242.942348688,154.770829679,177.844658047,191.852612138
15655263,CCOC(=O)C(=C(Br)Br)C(F)(F)F,1,183.853134952,165.896001499,119.41900954,156.38938199700002
131732882,COC(=O)C(=CNNC1=CC=C(C=C1)C(=O)NCC2=CC=CC=C2)C3=CC=CC=N3,1,407.877037565,410.253573897,587.632830422,468.5878139613333
89634767,CC1(O[C@@H]2C=C(O[C@@H]2O1)/C=C/C(=O)OC)C,2,370.5779157,441.231235177,391.608763357,401.1393047446666
543282,CCCCCCCCCC(CCC)OC(=O)C=C,0,132.054227832,147.808147998,135.140432536,138.33426945533333
136334104,CCOC(=O)C=CC1=C2NCCCN2N=C1,2,468.9912944,356.583998664,452.841787563,426.1390268756666
81530,CCOC(=O)C(=C)C#N,2,192.579111421,250.265344058,210.596928852,217.813794777
71524430,CC(C)(C)OC(=O)/C=C/[C@@H]1CCCN1CC2=CC=CC=C2,1,293.547041761,302.074562726,318.501761488,304.70778865833336
10103284,CCOC(=O)C(=C)N(C)C,0,78.007371967,42.5847283937,90.1391899201,70.24376342693333
129713546,CCOC(=O)C(=C)C1=C(C(=C(C=C1)Cl)CCl)Cl,1,222.756684486,326.905417766,278.993768913,276.2186237216667
117746832,CCOC(=O)/C=C/C1=CC(=C(C=C1N)F)SCC2=CC=CC=C2,1,402.017795026,298.872075737,353.033233352,351.3077013716667
66793255,CC/C(=C(/C1=CC=C(C=C1)/C=C/C(=O)OC)\C2=CC3=C(C=C2)N(N=C3)C)/C4=CC=CC=C4Cl,1,549.900845637,548.330890127,633.671433703,577.301056489
169432210,CC1=CC(=CC(=C1/C=C/C(=O)OC(C)(C)C)OC)C(=O)OC,1,412.248022306,241.205505552,313.967358173,322.473628677
75527636,CC(C)C1=CC=C(C=C1)S(=O)(=O)/C(=C\NC2=CC3=C(C=C2)OCCO3)/C(=O)OC,0,153.830699412,338.974467289,281.900447115,258.23520460533337
1645372,C1=CC=C(C=C1)CNC(=O)COC(=O)/C=C/C2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl,1,416.904828266,421.28166077,468.639589588,435.6086928746667
7174159,CCOC(=O)/C=C/C1=CC=C(O1)C2=CC=C(C=C2)OC,0,124.921869544,111.892593018,374.640794205,203.81841892233334
91684609,CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CN=CC=C2)Br,2,601.276833686,585.054295851,750.574664096,645.6352645443334
118274608,C=CC(=O)OCCCOC1=CC=C(C=C1)OC(=O)/C=C/C2=CC=C(C=C2)Cl,2,938.247614226,1063.51630655,759.778275372,920.5140653826667
117749293,CCOC(=O)/C=C/C1=C(C=CC(=C1)SCC2=CC=CC=C2)NC3=C(C=C(C(=C3)Cl)C(F)(F)F)OC,2,942.043877175,1137.5810231,1259.93086072,1113.1852536650001
14288968,COCC1=CC=C(C=C1)/C=C/C(=O)OC,0,161.690283953,135.154170968,84.1138134759,126.98608946563331
132536885,C=C(CCl)C(=O)OCCCCOC(=O)C(=C)CCl,1,277.14323236,214.409961561,247.537283827,246.36349258266668
23500968,CCCCCC(CCC)COC(=O)C=C,2,476.617173219,417.064137012,452.141891626,448.6077339523333
129851655,C=C(C1=C(C(=CC=C1)O)C2=CC=CC=C2)C(=O)OOC(=O)N,2,537.313145923,583.620733658,713.452763763,611.4622144479999
9675250,CC(C)C1=CC=C(C=C1)OCC(=O)N/N=C/C2=CC(=C(C=C2)OC(=O)/C=C/C3=CC=CC=C3)OC,1,472.005099088,543.396693775,575.007698746,530.136497203
54425842,C1=CC=C(C=C1)C(C2=CC=CC=C2)OC(=O)C=CC3=CN=CC=C3,0,235.591531635,218.258983538,142.40301469,198.75117662099998
129849674,C=CC(=O)O[C@@]1([C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O,1,183.701365926,178.393938482,185.344230463,182.47984495699998
86604651,COC1=C(C=C2C(=C1)C(=C(C=N2)C#N)NC3=C4C(=C(C=C3)/C=C/C(=O)OC)OCO4)OC,2,913.312269225,1189.82616953,1144.53145078,1082.556629845
66685135,CCOC(=O)C=CC1(CCOCC1)C2=CC(=CC=C2)C(F)(F)F,0,168.928105647,140.921055252,150.786409209,153.545190036
1724186,CCOC(=O)/C(=C\C1=COC=C1)/C#N,2,339.846514302,365.265026825,309.995112577,338.368884568
163320595,COC1=C(C=CC(=C1)/C=C/C(=O)OC)OCC(CNC2=CC(=CC(=C2)F)F)O,1,467.471838357,277.054036848,426.972788265,390.49955449000004
3022444,CCCCCCCCCCCCCCCC(C)COC(=O)C=C,0,184.267176122,201.005221961,153.481248268,179.5845487836667
19079980,CCC(=C)C(=O)OCCOC(=O)C(=C)CC,1,241.415315519,203.456680113,198.25223052,214.37474205066667
67955221,CC1=CC(=C(C=C1OCC2=CC=CC=C2/C(=C\OC)/C(=O)OC)C)C(=O)/C=C/N(C)C,2,1092.70469257,1029.543581,1027.78521633,1050.0111633
62552,CCCCCCCCCCCCCCCCCCOC(=O)C=C,2,768.719440619,710.560570826,672.173414497,717.1511419806667
