,y,pred
416,0.29991296,0.29037225
417,0.30003214,0.25424457
418,0.30016795,0.2737115
419,0.30061948,0.30075315
420,0.30068737,0.31436983
421,0.30069754,0.29532796
422,0.30088463,0.32402053
423,0.30096385,0.35126758
424,0.3010221,0.3000454
425,0.30102235,0.29547215
426,0.30117866,0.32227147
427,0.30120814,0.30598992
428,0.30136153,0.33911142
429,0.30137885,0.29798093
430,0.3015763,0.3314217
431,0.30168468,0.29805255
432,0.3018213,0.30013186
433,0.3018544,0.28446153
434,0.3018857,0.3284693
435,0.30199197,0.31634828
436,0.3028277,0.28530878
437,0.3030079,0.28524852
438,0.30302894,0.28953463
439,0.30306354,0.31747892
440,0.3030926,0.29384306
441,0.30314463,0.31225505
442,0.30318838,0.31085017
443,0.30326226,0.3060757
444,0.30339223,0.33354405
445,0.30357766,0.30546817
446,0.30358183,0.329696
447,0.3038049,0.32923502
448,0.30381078,0.33814397
449,0.3039749,0.29193547
450,0.30412102,0.31770992
451,0.30427155,0.3287046
452,0.30429646,0.30481997
453,0.3043882,0.29237026
454,0.3044021,0.29580572
455,0.3045799,0.3031168
456,0.30459306,0.27838123
457,0.30475312,0.29165268
458,0.3047893,0.2848224
459,0.3055454,0.29920888
460,0.30569243,0.30408224
461,0.30578852,0.32814467
462,0.30598623,0.32577845
463,0.3061337,0.31929603
464,0.30618855,0.28070167
465,0.3062345,0.27517462
466,0.30679688,0.31432018
467,0.3068479,0.3016011
468,0.30698064,0.31861797
469,0.30700466,0.30420876
470,0.307067,0.2953079
471,0.30717102,0.2905085
472,0.3072951,0.36310774
473,0.30782077,0.30652905
474,0.30786368,0.3045646
475,0.30801466,0.3161705
476,0.30822024,0.31251526
477,0.30824152,0.27983472
478,0.30829674,0.27152562
479,0.30831352,0.27104425
480,0.3084095,0.35324743
481,0.30846992,0.36462134
482,0.308488,0.29796973
483,0.30850005,0.34205526
484,0.3086159,0.32753584
485,0.30867025,0.34847945
486,0.30892962,0.2957554
487,0.30906484,0.31867927
488,0.30908403,0.31362048
489,0.3092581,0.324156
490,0.3095273,0.31161502
491,0.3096097,0.34403515
492,0.30974784,0.31719092
493,0.31007123,0.31931636
