selfies,polarizability
[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][O],0.11333614107426881
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][N][=C][Branch1][Branch1][N][=C][Ring1][=Branch1][N][C@@H1][C][C][N][Branch1][Ring2][C][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0.2480128299128767
[C][C][O][C][=Branch1][C][=O][C][=Branch2][Ring1][O][=C][Branch2][Ring1][=Branch1][C][=C][C][=Branch1][S][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][F][N][C][=C][C][=C][Ring1][Branch1][F][O][C][=N][C][C][C][Ring1][Ring1],0.25468691405418586
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][C][C][=C][Branch1][Ring2][O][Ring1][Branch1][C][=Branch2][Ring1][P][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][O][C][C][Ring1][=Branch1][Cl],0.31805280591453106
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][Branch1][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][O][C][O][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],0.2012673096230734
[C][O][C][=Branch1][C][=O][/C][=C][Branch1][Branch2][/C][=C][C][=C][S][Ring1][Branch1][\N],0.09229249015736782
[C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][O],0.11779696394476591
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][Branch1][Ring2][O][Ring1][Branch1][C][=C][Branch1][O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][Br],0.22725754503353557
[C][C@@][C][C][C][Branch1][Branch2][C][Ring1][Branch1][Branch1][C][C][C][C][C][Ring1][=Branch2][O][C][=Branch1][C][=O][C][=C],0.10212267007330983
[C][O][C][=C][C][=Branch2][Ring1][=C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][=Branch1][C][Ring1][Branch1][C][O][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O][C][/C][=C][/C][=Branch1][C][=O][O-1],0.4098908997612513
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=N][N][C][=C][Ring1][Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][#N],0.1581835623287002
[C][#C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],0.217942451454134
[C][C][O][C][=Branch1][C][=O][/C][=C][Branch1][#C][\C][=C][Branch1][=Branch2][O][C][=Branch1][Ring2][=C][Ring1][Branch1][C][C][Cl][/P][=Branch1][C][=O][Branch1][Ring2][O][C][C][O][C][C],0.19845389104798355
[C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][O][Ring1][Branch1],0.07789467265157807
[C][O][C][=C][C][=Branch1][N][=C][C][=Branch1][=Branch1][=C][Ring1][=Branch1][O][C][O][C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][/N][=C][/C][=C][C][=Branch2][Ring1][#Branch1][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][O][C],0.42156908509038354
[C][C][C][C][O][C][=Branch1][C][=O][C][=C].[C][=C][C][=Branch1][C][=O][O][C][C][O],0.11397424849264592
[C][N][Branch1][C][C][C][C][C][C][C][/C][=Branch2][Ring1][P][=C][\C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Cl][/C][Ring2][Ring1][#Branch2][=O],0.3535250351230586
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][Branch1][#Branch1][N][=C][C][=C][Ring1][=Branch1][N],0.11226605754751293
[C][C][O][C][=Branch1][C][=O][C][=Branch1][#Branch1][=C][N][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F],0.156877526784968
[C][C][C][C@@][C][C][C][=C][C@@][Ring1][=Branch1][Branch1][=Branch2][O][C][=Branch1][C][=O][C][Ring1][#Branch2][/C][=C][/C][=Branch1][C][=O][O][C][C],0.15031662204747717
[C][O][C][=Branch1][C][=O][/C][=C][/C][=C][Branch1][#Branch1][C][=C][N][=C][Ring1][=Branch1][N][=P][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],0.34459850092240923
[C][C][C][C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][O][C][C][C][C][C][C][Ring1][Branch1][C][=C][Ring1][Branch1],0.34913756137871027
[C][C@][C][C][C@H1][Branch1][Branch2][C][Ring1][Branch1][Branch1][C][C][C][C][C@@H1][Ring1][=Branch2][O][C][=Branch1][C][=O][C][=C],0.10540779427998748
[C][C][O][C][=Branch1][C][=O][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][Branch1][C][C][C][O][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][O],0.17140394133387526
[C][C][O][C][=Branch1][C][=O][C][=C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][=Branch1][=C][C][Ring1][#Branch2][=O][C],0.16959178900047636
[C][=C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][O][C][=C][C][=C][C][=C][Ring1][=Branch1],0.20272711655547415
[C][C][=Branch1][C][=O][N][Branch1][=Branch2][/C][=C][/C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][/C][=C][\C][=Branch1][C][=O][O][C],0.2037429683515271
[C][=C][Branch1][Ring1][C][Cl][C][=Branch1][C][=O][O][C][C][#C],0.05211735519970604
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][O][C],0.1248082455859344
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch2][Ring1][Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][O][C],0.28562374684700725
[C][C][Branch1][C][C][C][C][=C][C][=C][Branch2][Ring2][Branch1][N][Ring1][Branch1][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][Branch1][P][C][=C][Branch1][O][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][C][O][C][O][C][=C][C][=Branch1][C][=O][O][C],0.327637310646554
[C][C][O][C][=Branch1][C][=O][C][=Branch1][C][=C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][Br],0.10792734178721727
[C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch2][Ring1][O][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Br][O][C][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl],0.25722057329152637
[C][O][C][=Branch1][C][=O][C][=Branch2][Ring1][Ring2][=C][Branch1][S][C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][F][F][O][C][=N][C][C][C][Ring1][Ring1],0.16712224758003408
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],0.10462526659746729
[C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][O][C][=Branch1][C][=O][C][=C],0.12606188592220646
