id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,static_polarizability_original
11378874,167712969,C=CC(=O)OCOP(=O)(O)O,CC1=C(C=C(C=C1)/C=C/C(=O)OC)C=O,1,197.937029198,130.309260617,179.905038507,0.3336724496932736,copoly,169.38377610733335
13369430,53413490,CCOC(=O)/C=C/C1=CC(=NC=C1)C,CCOC(=O)C=CC1=CC(=NC=C1)Cl,1,170.344727161,202.828293584,221.920393303,0.4203125823585847,copoly,198.36447134933331
20669687,23023397,CN(C)CC(=C)C(=O)OC,C=CC(=O)OCCC=O,1,118.890075562,134.323675037,107.70889707,0.18695509966195256,copoly,120.30754922299998
15746738,123915633,CCOC(=O)C(=C(C)C)N,COC(=O)C=CC1=C(C=C(C=N1)Cl)N,1,222.591129598,112.536561037,168.196484776,0.3288620616618336,copoly,167.77472513700002
129824056,5371085,C=CC(=O)OC1=CC2=C(C=C1)C=C2,COC(=O)/C=C/C1=CN=CN1,1,106.170098257,185.461102515,217.507281171,0.3346561748934491,copoly,169.71282731433334
36484045,75527606,COC1=C(C=CC(=C1)/C=C/C(=O)OC)OCC2=CC=CC=C2F,COC(=O)/C(=C/NC1=C(C=C(C=C1)F)F)/S(=O)(=O)C2=CC=C(C=C2)Cl,1,368.613051701,284.086561063,409.888304246,0.8861834597214768,copoly,354.19597233666667
22010502,5386768,CC(C)(C)OC(=O)/C=C/C1=CC(=CC=C1)C=O,COC(=O)/C(=C/SC1=CC=CC=C1)/C#N,1,250.067872962,183.68505856,263.616920559,0.5222338105614717,copoly,232.45661736033333
91620045,155289842,COC(=O)C(=C)C1=CC(=C(C=C1)Cl)Cl,C1=CC(=CC(=C1)Cl)C(=N/C=C/C(=O)[O-])N,1,288.224554617,174.85278404,327.427477239,0.6150453132224604,copoly,263.5016052986667
91675624,73166977,CC1=C(C=CC(=C1)C2=CC=C(O2)/C=C/C(=O)OC)Br,CCOC(=O)C(=CC1=CC=C(S1)Br)N=[N+]=[N-],1,389.810496107,176.012733719,277.499936306,0.6676802233858982,copoly,281.107722044
21160503,5373059,COC(=O)C(=C)C1=CC=C(C=C1)I,CCOC(=O)/C=C/C1=CC=C(C=C1)F,1,147.833628987,233.84585351,233.268200964,0.44009789716384873,copoly,204.9825611536667
13546469,8588166,CCOC(=O)/C=C/C1=C(C=CN=C1)N,C1=COC(=C1)C2=CC(=NO2)COC(=O)/C=C/C3=CC=CS3,1,178.389904369,215.892437505,334.454672647,0.5534920336929101,copoly,242.91233817366663
10330602,67829,COC(=O)/C=C/C1=CC(=C(C=C1)O)C=O,C=CC(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,1,137.278525554,199.797515827,197.566182327,0.36007134122549667,copoly,178.21407456933332
69566088,154827720,CCOC(=O)/C=C/C1CCC(CC1)C,CC(C)(C)OC(=O)/C=C/C1=CC(=C(C=C1)F)C(F)(F)F,1,229.011770732,200.486992822,227.985860897,0.48248710579365717,copoly,219.16154148366664
18177257,5921043,COC(=O)C(=C)CN1C=NC=N1,CCOC(=O)/C(=C/C1=CC=NC=C1)/C#N,1,124.959388244,199.317547778,179.993440463,0.32980497654471064,copoly,168.090125495
91684763,131736321,COC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=C(C=C2)Cl)I,CC(C)(C)OC(=O)/C=C/C1=C(C=CC(=C1)Cl)C(F)F,1,299.113758149,341.364359874,279.407323359,0.7439765950386702,copoly,306.62848046066665
58566652,45050938,CCOC(=O)/C=C/C1=C(C=C(C=C1)O)C2=CC=CC=C2,CCOC(=O)/C(=C/C1=CC=C(O1)C2=C(C=CC(=C2)C)OC)/C#N,1,371.598391589,248.058249828,378.590630198,0.8220662717538145,copoly,332.7490905383333
25098584,87216247,COC(=O)/C(=C/C1=C(C=CC=C1Cl)F)/CN2C=NC=N2,CC(C)(C)OC(=O)/C=C/C1=NC(=C(C=C1)NC=O)OC,1,263.012190915,258.978183909,305.262302256,0.6516655477333064,copoly,275.75089236
67774726,733990,COC(=O)/C(=C\O)/CC1=CN=CN=C1,COC(=O)/C(=C/C1=CC=C(C=C1)O)/C#N,1,260.7110202,177.353947863,117.592984737,0.38101408191758723,copoly,185.2193176
53486487,91684822,CC1=C(SC=N1)/C=C(\CN2C=NC=N2)/C(=O)OC,CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=C(C=C(C=C2)F)Cl)Cl,1,337.906695839,285.76437725,268.787104062,0.7166445867048771,copoly,297.4860590503333
5462840,167712969,CCN(CC)/C=C/C(=O)OCC,CC1=C(C=C(C=C1)/C=C/C(=O)OC)C=O,1,185.757743459,225.639538282,174.578847077,0.4112269617954417,copoly,195.32537627266663
10954846,91685143,COC(=O)C(=C)C(C1=CC=C(O1)CO)O,COC1=C(C(=CC(=C1)/C=C/C(=O)OC)I)OCC2=CC=C(C=C2)Cl,1,257.57683909,418.965282181,196.946963323,0.6977413745038434,copoly,291.163028198
5743512,73357467,COC(=O)/C=C/C1=CN=CN1.Cl,CCOC(=O)/C=C/C1=CC2=C(C=C1)NC=C2,1,228.71257456,210.279167446,157.787441517,0.4219924970942104,copoly,198.92639450766669
14552133,53929170,CC1=CC=CC=C1C(=C)C(=O)OC,COC1=NC=C(C=C1)C=CC(=O)OC,1,227.359863756,160.407386652,168.232088042,0.3813542819226716,copoly,185.33311281666667
13369430,168350,CCOC(=O)/C=C/C1=CC(=NC=C1)C,COC(=O)C=C.C=CC(=O)O,1,187.97663397,155.933290656,149.811161774,0.3192923245320856,copoly,164.57369546666666
22592697,11309854,CC(=O)OC=C.COC(=O)C=C,CCOC(=O)/C=C/C1=NC=CC=N1,1,211.170807766,168.430617755,137.735811387,0.34282645528097777,copoly,172.445745636
175956,10611340,C=CC(=O)OCCOC(=O)CCC(=O)O,CCOC(=O)/C=C/C1=CC2=C(C=C(C=C2)O)OC1=O,1,161.792380414,248.518218554,267.416198328,0.5026589768280382,copoly,225.90893243200003
53486487,54479989,CC1=C(SC=N1)/C=C(\CN2C=NC=N2)/C(=O)OC,CCOC(=O)C=CC1=C(C=NN1C2=C(C(=C(C=C2)Cl)Cl)Cl)C#N,1,232.728191671,362.226868935,290.377662586,0.7095438797094881,copoly,295.11090773066667
10654569,201471,COC(=O)/C=C\C1=CN=CC=C1,CCOC(=O)C=CC1=CC=C(C=C1)Cl,1,196.696652523,238.410709389,92.7427871702,0.3533028557246247,copoly,175.95004969406668
19979416,56737000,CC1(CC(CC(N1OC)(C)C)OC(=O)C=C)C,CCOC1=CC(=C(C=C1)C2=CC=C(O2)/C=C/C(=O)OC)[N+](=O)[O-],1,405.851800889,206.823397805,292.347091258,0.7291650638801221,copoly,301.6740966506667
10330602,92859239,COC(=O)/C=C/C1=CC(=C(C=C1)O)C=O,CC(=O)N/C(=C\C1=C(C=CC(=C1)F)F)/C(=O)OC,1,221.876473512,223.87641911,195.325866277,0.46613821841598224,copoly,213.692919633
27134,733990,CCSCCOC(=O)C=C,COC(=O)/C(=C/C1=CC=C(C=C1)O)/C#N,1,169.698220364,159.10983344,186.805604091,0.3411088623212679,copoly,171.87121929833333
85617,5373049,C=CC(=O)OC1CCCC1,CCOC(=O)/C=C/C1=CC=CC=C1F,1,198.130068338,141.877406805,149.350479377,0.31494434596954224,copoly,163.1193181733333
145708151,733990,CCOC(=O)/C=C/C1=C(C=NC=C1)F,COC(=O)/C(=C/C1=CC=C(C=C1)O)/C#N,1,209.439550286,138.083553645,200.683997734,0.3735891078625556,copoly,182.735700555
23688,14496496,CCCCOCCOC(=O)C=C,CCOC(=O)CCOC(=O)C=C,1,138.255919447,173.644514781,156.519776635,0.29407931986616836,copoly,156.14007028766665
15169532,123915633,CC1=C(C=CC=N1)/C=C/C(=O)OC,COC(=O)C=CC1=C(C=C(C=N1)Cl)N,1,218.811205395,118.886243531,224.778455217,0.3878083542648688,copoly,187.49196804766663
10726051,5373049,COC(=O)/C=C/C1=CC=C(O1)C=O,CCOC(=O)/C=C/C1=CC=CC=C1F,1,244.642427636,121.432596681,169.7650264,0.36126500813724904,copoly,178.61335023900003
17841663,18718363,C=CC(=O)OC12CCC(C1)C=C2,C=CC(=O)OCCN1C(=O)C=CC1=O,1,197.667764866,177.300278399,125.105991657,0.3256232090302633,copoly,166.691344974
86661403,681283,C=CCOCC(=C)C(=O)[O-],COC(=O)/C(=C/C1=CC=CC=C1[N+](=O)[O-])/C#N,1,180.564586514,179.26201542,173.347177146,0.3586079965596862,copoly,177.72459302666667
5748640,699414,C[C@H](CO)OC(=O)C=C,COC1=CC=C(C=C1)/C=C/C(=O)O,1,172.800966546,144.604811847,123.397423766,0.2665582260489072,copoly,146.93440071966666
21401083,5743512,CC(=C)C(=O)OC(C(CO)O)O,COC(=O)/C=C/C1=CN=CN1.Cl,1,156.495069749,154.438289546,123.6650013,0.2603749341278183,copoly,144.86612019833333
10654569,18718363,COC(=O)/C=C\C1=CN=CC=C1,C=CC(=O)OCCN1C(=O)C=CC1=O,1,138.251013834,157.675732806,206.094093971,0.32756325339151915,copoly,167.34028020366668
23635601,168350,CCCCCCC1=CC=C(C=C1)OC(=O)C=C,COC(=O)C=C.C=CC(=O)O,1,188.694242572,184.294442881,212.930621312,0.41117033708752126,copoly,195.30643558833333
