,y,pred
94,0.14458744,0.18531826
95,0.14543515,0.13601404
96,0.14547914,0.19799659
97,0.14641735,0.181117
98,0.14666477,0.13442817
99,0.14681585,0.2122351
100,0.14970167,0.16101861
101,0.14995618,0.1092994
102,0.15079783,0.18949646
103,0.15087864,0.19806796
104,0.15185963,0.23884735
105,0.15241365,0.142595
106,0.15247688,0.16876552
107,0.15265939,0.17585713
108,0.15275586,0.17499116
109,0.15348963,0.15801525
110,0.15381229,0.21064767
111,0.15753537,0.18395647
112,0.15887883,0.17090812
113,0.16146824,0.14011696
114,0.16211373,0.09964858
115,0.16307832,0.1709004
116,0.1637391,0.17128572
117,0.1649802,0.17220157
118,0.16581157,0.17564934
119,0.16614269,0.19807714
120,0.16715626,0.15150172
121,0.16751237,0.18965739
122,0.17102303,0.21697658
123,0.17175236,0.16057721
124,0.1727242,0.1839129
125,0.17282665,0.15617222
126,0.17697689,0.18686736
127,0.17767431,0.17684168
128,0.18216157,0.23086983
129,0.18322563,0.16975448
130,0.18335605,0.19919145
131,0.18514097,0.19330537
132,0.19053695,0.16060641
133,0.19224054,0.20280015
134,0.19267878,0.1664108
135,0.19363973,0.2184
136,0.19454165,0.17592248
137,0.19631568,0.14478308
138,0.19711357,0.21039838
139,0.19727887,0.16624779
140,0.19978988,0.17864802
141,0.20285204,0.16574317
142,0.20286658,0.18243474
143,0.20406638,0.22904593
144,0.20443274,0.1617786
145,0.20594193,0.20411515
146,0.20682572,0.22529548
147,0.20748518,0.21123463
148,0.20819007,0.19726813
149,0.20825931,0.24155709
150,0.211174,0.2026929
151,0.21370383,0.14045957
152,0.2141637,0.21267974
153,0.21456826,0.23901701
154,0.21473452,0.24210182
155,0.21596693,0.18355626
156,0.21947758,0.24196586
157,0.22095454,0.2117925
158,0.22102563,0.25272885
159,0.22103494,0.23383415
160,0.22120683,0.23431545
161,0.22131582,0.20325586
162,0.22317223,0.19353825
163,0.22331025,0.24515262
164,0.2239393,0.22820386
165,0.22591461,0.26797366
166,0.22684282,0.27538314
167,0.2270123,0.22377354
168,0.2295168,0.21211967
169,0.2300571,0.22236192
170,0.23234318,0.22579873
171,0.2327293,0.21347535
172,0.235103,0.25330105
173,0.23697032,0.25971135
174,0.23731287,0.28534624
175,0.23984154,0.38059872
176,0.24144797,0.24295568
177,0.24262774,0.25526688
178,0.24288563,0.3048675
179,0.24304175,0.26725677
180,0.24500722,0.20465511
181,0.24580817,0.22949788
182,0.24735153,0.25041655
